Box Number,15.01.2018,19.01.2018,24.01.2018,29.01.2018,30.01.2018,01.02.2018,05.02.2018,08.02.2018,12.02.2018,15.02.2018,19.02.2018,23.02.2018,26.02.2018,02.03.2018,05.03.2018,08.03.2018,12.03.2018,15.03.2018
1,13.852,16.428,15.534,15.746,16.12,17.17,16.096,17.84,16.882,16.928,15.408,16.512,14.682,15.578,13.662,16.446,14.976,17.604
2,13.826,16.156,15.316,15.406,15.814,17.312,16.156,17.732,16.858,16.478,15.262,16.294,14.73,16.684,14.916,17.352,16.598,19.172
3,14.062,16.74,15.73,15.864,16.296,16.8,15.996,17.14,15.888,17.048,15.25,16.606,14.272,15.4,12.94,15.364,12.918,13.562
4,13.882,16.512,15.552,15.622,15.95,16.568,15.78,16.814,15.814,16.56,15.174,15.522,13.716,15.268,13.242,16.78,14.834,17.924
5,11.046,13.434,12.246,12.122,12.568,12.92,12.128,13.186,12.123,12.366,11.232,12.58,10.446,13.274,10.784,14.016,11.138,13.268
6,13.506,16.08,15.12,15.072,15.462,16.178,15.312,16.352,15.214,16.156,14.542,15.374,13.078,15.568,13.074,16.522,14.474,16.418
7,14.378,16.604,15.76,15.92,16.334,17.256,16.372,17.276,16.102,16.97,15.484,16.602,14.368,17.106,14.79,17.178,14.748,16.872
8,13.772,16.51,15.73,15.694,16.148,17.196,16.234,17.02,16.09,16.598,15.388,17.04,14.908,16.074,13.802,16.17,13.624,15.982
9,13.594,16.218,15.092,15.412,15.802,17.034,16.09,17.108,16.01,16.49,15.282,16.886,14.786,16.168,13.854,16.678,13.934,15.916
10,13.582,16.208,15.514,16.062,16.206,17.034,16.304,16.95,16.04,16.348,15.358,16.344,14.45,16.25,14.286,16.992,14.758,16.458
11,13.9,16.244,15.446,15.72,16.092,17.28,16.27,17.24,16.004,17.142,15.508,15.668,13.242,15.706,13.166,15.248,12.166,14.446
12,13.776,16.01,15.17,15.514,15.634,17.102,16.036,17.462,16.396,16.84,15.37,16.412,14.052,16.842,14.462,17.316,14.514,15.682
13,14.126,16.058,15.618,15.418,15.778,16.414,15.84,17.102,16.058,16.044,14.212,12.5,11.276,9.928,9.186,8.574,8.53,9.394
14,14.394,16.404,15.842,15.602,15.966,16.662,15.908,17.168,16.076,16.178,14.332,12.566,11.274,9.892,9.124,8.548,8.576,9.81
15,15.18,17.642,16.954,16.54,17.152,18.266,17.42,18.192,17.132,16.602,14.926,13.282,12.1,10.736,9.92,9.21,9.006,9.754
16,14.078,16.424,15.93,15.482,15.812,18.238,17.214,17.73,16.728,16.966,16.3,17.82,16.596,19.034,17.818,19.254,17.98,19.88
17,11.928,14.58,13.53,13.718,14.048,13.974,13.338,14.118,12.974,13.646,11.972,12.352,10.508,12.102,10.346,11.184,9.388,11.89
18,11.188,13.666,12.798,12.812,13.28,13.898,12.974,13.628,12.314,12.578,11.158,11.564,9.782,11.25,9.552,10.672,8.986,10.886
19,11.052,13.09,12.442,12.14,12.628,13.648,12.508,13.414,12.412,12.256,10.26,8.566,7.648,6.862,6.516,6.554,6.576,7.604
20,11.238,13.208,12.532,12.122,12.696,13.75,12.732,13.666,12.61,12.602,10.624,8.922,7.974,7.194,6.808,7.04,6.978,7.92
21,11.142,13.75,12.578,12.094,12.438,13.848,12.93,13.75,12.444,12.164,9.958,8.162,7.328,6.724,6.424,6.522,6.58,7.676
22,9.982,11.762,11.25,11.284,11.828,12.654,12.082,13.072,12.102,12.98,11.764,12.624,10.886,13.638,11.734,13.868,12.376,15.322
23,10.488,12.732,11.948,11.796,12.126,12.93,12.09,13.022,11.944,13.038,11.528,12.748,10.186,12.068,9.806,12.064,9.892,12.526
24,10.464,12.754,12.044,12.14,12.51,13.348,12.512,13.458,12.658,13.298,12.386,13.518,11.78,14.448,12.736,14.006,12.798,15.508
25,12.656,15.1,14.482,14.644,15.066,15.942,15.16,16.188,14.914,15.436,14.138,15.198,12.466,13.928,11.448,13.422,11.024,13.398
26,13.046,15.068,14.618,15.094,15.51,16.616,15.57,18.538,15.156,15.73,14.53,15.116,12.458,13.672,11.488,12.584,10.932,12.784
27,12.376,14.48,14.01,14.346,14.79,15.77,14.816,15.738,14.45,15.244,14.17,14.99,12.258,13.898,11.382,13.26,11.266,13.01
28,13.006,15.42,14.628,15.304,15.764,16.396,15.66,16.624,15.496,15.55,13.71,11.74,10.318,8.918,8.236,7.924,7.774,8.594
29,12.99,14.906,14.402,14.884,15.374,15.818,15.122,16.124,15.082,15.028,13.45,11.784,10.534,9.156,8.414,8.016,7.866,8.51
30,12.938,14.738,14.452,14.98,15.45,16.202,15.458,16.926,15.818,15.336,13.47,11.426,9.926,8.516,7.942,7.714,7.774,8.596
31,10.284,12.224,12.3,13.466,14.018,13.64,12.822,13.522,12.748,13.29,12.986,13.416,12.874,13.206,12.78,14.036,13.398,13.6